Sample	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
SRR14371953_1	151.0	72732705.0	88.00224487717003	36.36363636363637	44.0
SRR14371953_2	151.0	72732705.0	86.01833535809358	36.36363636363637	43.0
SRR14371954_1	151.0	75507926.0	89.71281800187566	27.27272727272727	43.0
SRR14371954_2	151.0	75507926.0	89.37730814749251	36.36363636363637	44.0
SRR14371955_1	151.0	114967713.0	86.01372001994032	36.36363636363637	49.0
SRR14371955_2	151.0	114967713.0	83.84718493235128	36.36363636363637	49.0
SRR14371956_1	151.0	97281935.0	87.7540166144002	36.36363636363637	45.0
SRR14371956_2	151.0	97281935.0	85.42769182188745	36.36363636363637	46.0
SRR14371957_1	151.0	71205768.0	79.61160744858408	36.36363636363637	44.0
SRR14371957_2	151.0	71205768.0	78.36078438155246	36.36363636363637	46.0
SRR15343189_1	151.0	53770381.0	83.18390181460154	36.36363636363637	51.0
SRR15343189_2	151.0	53770381.0	80.65228577097857	36.36363636363637	53.0
SRR15343190_1	151.0	51565363.0	81.1642340237894	36.36363636363637	47.0
SRR15343190_2	151.0	51565363.0	77.27430228795876	36.36363636363637	47.0
SRR15343191_1	151.0	54065331.0	78.47440448331388	36.36363636363637	48.0
SRR15343191_2	151.0	54065331.0	76.68981765234045	36.36363636363637	47.0
SRR15343192_1	151.0	52109789.0	86.7813103125255	36.36363636363637	45.0
SRR15343192_2	151.0	52109789.0	85.36118889784746	36.36363636363637	44.0
SRR15343193_1	151.0	55054346.0	84.6417964251561	27.27272727272727	50.0
SRR15343193_2	151.0	55054346.0	84.84628635367645	36.36363636363637	48.0
SRR15343194_1	151.0	91791753.0	89.62518589201821	36.36363636363637	45.0
SRR15343194_2	151.0	91791753.0	87.45668896633495	36.36363636363637	45.0
SRR15343195_1	151.0	43266920.0	86.163288072681	36.36363636363637	46.0
SRR15343195_2	151.0	43266920.0	83.95674972975172	36.36363636363637	46.0
